group,plot_count,evaluated_plot_count,completed_count,failed_count,total_reference_trees,total_predicted_trees,total_true_positives,total_false_positives,total_false_negatives,micro_precision,micro_recall,micro_f1,mean_plot_f1,mean_of_plot_mean_matched_iou,mean_of_plot_median_matched_iou,pooled_match_count,pooled_mean_matched_iou,pooled_median_matched_iou,total_runtime_seconds,mean_runtime_seconds,peak_memory_max_gb
CULS,3,3,3,0,47,142,47,95,0,0.33098591549295775,1.0,0.4973544973544974,0.49202797202797205,0.8436402297121429,0.8526893395273142,47,0.8412545699348749,0.8462794836558607,651.0,217.0,6.658557891845703
NIBIO,20,20,20,0,575,1591,12,1579,563,0.00754242614707731,0.020869565217391306,0.011080332409972301,0.009753666316925997,0.10397234538652407,0.10371292045807597,12,0.5151604986021961,0.5136455479425683,9964.0,498.2,9.010730743408203
RMIT,2,2,2,0,223,288,145,143,78,0.5034722222222222,0.6502242152466368,0.5675146771037182,0.5366698431315056,0.7103159229107954,0.7234601457242731,145,0.7168194008200313,0.7281947261663286,216.0,108.0,6.349128723144531
SCION,5,5,5,0,135,224,107,117,28,0.47767857142857145,0.7925925925925926,0.596100278551532,0.5911899062687803,0.7475372468748859,0.7580290305456064,107,0.7455851566028273,0.756353398445286,1530.0,306.0,6.6314239501953125
TUWIEN,2,2,2,0,150,287,65,222,85,0.2264808362369338,0.43333333333333335,0.2974828375286041,0.28505128205128205,0.6679289132146586,0.689610116634878,65,0.6719953609982844,0.6776985743380856,1069.0,534.5,9.608455657958984
