group,plot_count,evaluated_plot_count,completed_count,failed_count,total_reference_trees,total_predicted_trees,total_true_positives,total_false_positives,total_false_negatives,micro_precision,micro_recall,micro_f1,mean_plot_f1,mean_of_plot_mean_matched_iou,mean_of_plot_median_matched_iou,pooled_match_count,pooled_mean_matched_iou,pooled_median_matched_iou,total_runtime_seconds,mean_runtime_seconds,peak_memory_max_gb
dev,21,21,21,0,807,1743,265,1478,542,0.15203671830177853,0.32837670384138784,0.20784313725490192,0.18436566836851917,0.30036476127079165,0.3039182722303548,265,0.7207640071742152,0.7411389838025847,9044.0,430.6666666666667,9.608455657958984
test,11,11,11,0,323,789,111,678,212,0.14068441064638784,0.34365325077399383,0.19964028776978418,0.21807908985391009,0.43608031970960215,0.44239348985021326,111,0.7397707406242704,0.7625087630630778,4386.0,398.72727272727275,7.925457000732422
