method_slug,run_label,training_mode,result_role,evaluation_mode,result_status,metrics_status,predictions_status
segmentanytree,released_checkpoint_coordinate_rematch,published_pretrained,historical_diagnostic,provisional_coordinate_rematched,completed_provisional,public_summary_retained,local_predictions_retained
segmentanytree,sat_for_quicktune_to49_20260706_140730,retrained_from_dev,historical_result,harmonised_pointwise_test,completed_retained_historical,public_summary_retained,barkla_predictions_retained
segmentanytree,segmentanytree_for-instance_published_pretrained_20260710_231601,published_pretrained,completed_target_baseline,harmonised_pointwise_test,completed,public_summary_retained,barkla_aligned_predictions_retained
segmentanytree,segmentanytree_for-instance_fine_tuned_on_dev_20260711_002931,fine_tuned_on_dev,completed_primary_result,harmonised_pointwise_test,completed,public_summary_retained,barkla_aligned_predictions_retained
