method_slug,run_id,training_mode,result_role,evaluation_protocol,dataset_split,plots,predicted_instances,reference_instances,true_positives,false_positives,false_negatives,mean_plot_f1,mean_plot_precision,mean_plot_recall,micro_precision,micro_recall,micro_f1,mean_matched_iou,mean_unweighted_coverage,mean_weighted_coverage,result_status
segmentanytree,segmentanytree_for-instance_published_pretrained_20260710_231601,published_pretrained,completed_target_baseline,for_instance_pointwise_v1,test,11,789,323,247,542,76,0.45340897930934665,0.32301693464050424,0.8085742004820952,0.31305449936628643,0.7647058823529411,0.4442446043165468,0.8603003216196654,0.7406852849280157,0.8357016121910606,completed_aligned_pointwise_test
segmentanytree,segmentanytree_for-instance_fine_tuned_on_dev_20260711_002931,fine_tuned_on_dev,completed_primary_result,for_instance_pointwise_v1,test,11,568,323,237,331,86,0.5446789009405125,0.4296635853788897,0.780590486248381,0.41725352112676056,0.7337461300309598,0.531986531986532,0.85847139408441,0.7113647724850037,0.8214548358281224,completed_aligned_pointwise_test
