run_id,split,site,n_plots,mean_f1,median_f1,min_f1,max_f1,mean_precision,mean_recall,mean_matched_iou,total_predictions,total_references,total_tp,total_fp,total_fn
sat_for_quicktune_to49_20260706_140730,trained_test,CULS,1,0.5479452054794521,0.5479452054794521,0.5479452054794521,0.5479452054794521,0.37735849056603776,1.0,0.9476273064944747,53,20,20,33,0
sat_for_quicktune_to49_20260706_140730,trained_test,NIBIO,6,0.47905399926507836,0.4789156626506024,0.4150943396226416,0.5365853658536586,0.36172209807653116,0.7215901365024172,0.8395179520359185,315,161,115,200,46
sat_for_quicktune_to49_20260706_140730,trained_test,RMIT,1,0.34426229508196726,0.34426229508196726,0.34426229508196726,0.34426229508196726,0.3620689655172414,0.328125,0.7782650555699895,58,64,21,37,43
sat_for_quicktune_to49_20260706_140730,trained_test,SCION,2,0.6430575035063114,0.6430575035063114,0.6086956521739131,0.6774193548387097,0.5337837837837838,0.8088888888888889,0.9122697775138862,65,43,35,30,8
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,1,0.22535211267605634,0.22535211267605634,0.22535211267605634,0.22535211267605634,0.2222222222222222,0.22857142857142856,0.6416865043044996,36,35,8,28,27
sat_for_quicktune_to49_20260706_140730,trained_validation,CULS,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.75,1.0,0.8468303186361875,8,6,6,2,0
sat_for_quicktune_to49_20260706_140730,trained_validation,NIBIO,3,0.5536509845852268,0.5747126436781609,0.4583333333333333,0.627906976744186,0.4516018177832288,0.7409003831417623,0.8429577424822217,167,102,74,93,28
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,1,0.1673640167364017,0.1673640167364017,0.1673640167364017,0.1673640167364017,0.16129032258064516,0.17391304347826086,0.6869162919749202,124,115,20,104,95
