run_id,split,site,plot_name,reference_id,point_count,best_prediction_id,best_iou,overlapping_prediction_count,failure_mode
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,21,1380,42,0.02279447069823861,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,22,14968,44,0.021548004943914553,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,23,60025,47,0.039759557585958165,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,24,862,1,0.0,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,25,801,42,0.009667948977525815,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,26,13451,1,0.0,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,27,1005,1,0.0,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,28,8458,15,0.029380374151714694,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,29,6700,15,0.1414828176310069,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,30,2536,46,0.1483808603189947,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,32,421035,33,0.18839436914095437,3,fragmented
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,33,256719,5,0.4810890788274304,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,34,258698,11,0.36264591439688715,4,near_miss
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,35,182887,18,0.20634807807972005,3,fragmented
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,36,336260,13,0.2101672197357078,3,fragmented
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,37,292958,31,0.18581520821120198,2,fragmented
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,40,19962,43,0.2458190610517832,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,41,144,78,0.0018183998081688114,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,47,20762,73,0.19752790686532842,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,48,680,66,0.008254408254408254,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,49,232,66,0.0010777023386140748,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,52,119,76,0.003012696363245104,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,57,1191,1,0.0,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,59,999,85,0.022679405390555844,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,60,62437,85,0.02719954991993768,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,61,1955,85,0.004635433369289525,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,62,46350,86,0.18740275098027012,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,63,46986,86,0.20819865983445013,2,fragmented
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,64,172,1,0.0,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,65,51807,86,0.30072490599261104,2,near_miss
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,66,1909,86,9.243681943391692e-06,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,67,15725,80,0.19446243822990505,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,69,10062,86,0.07079018822771412,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,70,11859,80,0.14516524791906532,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,72,2609,1,0.0,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,73,6954,86,0.0012733896926178769,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,74,6010,63,0.06143505356504057,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,75,2602,64,0.05886643810635349,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,76,9820,64,0.4108406361570919,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,77,119,64,0.0011648223645894002,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,81,1340,85,0.002072538860103627,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,82,12374,85,0.00031204725286972026,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,83,23877,84,0.12313666541400475,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,84,56079,98,0.19173396911784898,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,85,28756,98,0.4758316008316008,1,near_miss
