split,n_plots,total_reference_trees,total_predicted_trees_harmonized,total_tp_harmonized,total_fp_harmonized,total_fn_harmonized,mean_plot_f1_harmonized,median_plot_f1_harmonized,min_plot_f1_harmonized,max_plot_f1_harmonized,total_predicted_trees_labelled_mask,total_tp_labelled_mask,total_fp_labelled_mask,total_fn_labelled_mask,mean_plot_f1_labelled_mask,median_plot_f1_labelled_mask,min_plot_f1_labelled_mask,max_plot_f1_labelled_mask,mean_of_plot_mean_matched_iou_harmonized,median_of_plot_mean_matched_iou_harmonized,mean_runtime_seconds,total_runtime_seconds,micro_precision_harmonized,micro_recall_harmonized,micro_f1_harmonized,micro_precision_labelled_mask,micro_recall_labelled_mask,micro_f1_labelled_mask
dev,21,807,1420,322,1098,485,0.31432077180548623,0.3018867924528302,0.0,0.7241379310344828,873,350,523,457,0.45866014890306883,0.4533333333333333,0.0,1.0,0.7309337712141376,0.7516905446296342,57.326994602235835,1203.8668866469525,0.2267605633802817,0.3990086741016109,0.28917826672653796,0.4009163802978236,0.43370508054522927,0.4166666666666667
test,11,323,653,177,476,146,0.38310765715157086,0.3846153846153846,0.1584158415841584,0.5925925925925926,414,186,228,137,0.5221866540710387,0.55,0.2424242424242424,0.8333333333333334,0.8037642651576798,0.7910732767205648,47.226985668890514,519.4968423577957,0.27105666156202146,0.5479876160990712,0.36270491803278687,0.4492753623188406,0.5758513931888545,0.5047489823609227
